matchTimestamp,type.primary,type.secondary,player.name,team.name,pass.recipient.name
01:14:47.660,pass,"['cross', 'cross_blocked']",Marta Cazalla,Grasshopper,
01:14:50.097,pass,"['forward_pass', 'recovery', 'counterpressing_recovery', 'short_or_medium_pass']",S. Jackson,Grasshopper,E. Pápai
01:15:06.637,pass,"['hand_pass', 'lateral_pass', 'short_or_medium_pass']",S. Friedli,Zürich,J. Stierli
01:15:09.891,pass,"['forward_pass', 'long_pass', 'progressive_pass']",J. Stierli,Zürich,O. Woś
01:15:13.852,pass,"['forward_pass', 'pass_to_final_third', 'recovery', 'short_or_medium_pass']",S. Jackson,Grasshopper,R. Rinast
01:15:14.488,pass,"['back_pass', 'short_or_medium_pass']",R. Rinast,Grasshopper,N. Ivelj
01:15:18.550,pass,"['lateral_pass', 'short_or_medium_pass']",N. Ivelj,Grasshopper,E. Pápai
01:15:22.944,pass,"['forward_pass', 'loss', 'pass_to_final_third', 'short_or_medium_pass']",E. Pápai,Grasshopper,L. Vetterlein
01:15:24.085,pass,"['lateral_pass', 'long_pass', 'recovery']",L. Vetterlein,Zürich,V. Pinther
01:15:29.581,pass,"['forward_pass', 'loss', 'progressive_pass', 'short_or_medium_pass']",V. Pinther,Zürich,N. Ivelj
01:16:18.578,pass,"['forward_pass', 'short_or_medium_pass']",Zhang Linyan,Grasshopper,E. Ljustina
01:16:21.688,pass,"['progressive_pass', 'short_or_medium_pass']",V. Bernauer,Zürich,
01:16:32.241,pass,"['forward_pass', 'pass_to_final_third', 'progressive_pass', 'short_or_medium_pass']",E. Pápai,Grasshopper,S. Jackson
01:16:36.544,pass,"['lateral_pass', 'short_or_medium_pass']",M. Höbinger,Zürich,N. Mégroz
01:16:47.690,pass,"['forward_pass', 'loss', 'progressive_pass', 'short_or_medium_pass']",I. Pando,Zürich,Marta Cazalla
01:16:51.698,pass,"['forward_pass', 'pass_to_final_third', 'short_or_medium_pass']",V. Laino,Grasshopper,K. Wienerroither
01:16:53.980,pass,"['back_pass', 'short_or_medium_pass']",K. Wienerroither,Grasshopper,V. Laino
01:16:58.100,pass,"['forward_pass', 'short_or_medium_pass']",E. Pápai,Grasshopper,K. Wienerroither
01:16:58.988,pass,"['loss', 'short_or_medium_pass']",K. Wienerroither,Grasshopper,M. Höbinger
01:16:59.941,pass,"['loss', 'short_or_medium_pass']",E. Pápai,Grasshopper,L. Vetterlein
01:17:00.900,pass,"['forward_pass', 'loss', 'progressive_pass', 'short_or_medium_pass']",L. Vetterlein,Zürich,K. Wienerroither
01:17:02.547,pass,"['forward_pass', 'long_pass', 'loss', 'progressive_pass']",N. Mégroz,Zürich,N. Ivelj
01:17:05.921,pass,"['short_or_medium_pass', 'under_pressure']",V. Laino,Grasshopper,N. Ivelj
01:17:08.584,pass,"['back_pass', 'short_or_medium_pass']",N. Ivelj,Grasshopper,I. Rutishauser
01:17:15.947,pass,"['forward_pass', 'long_pass', 'loss']",I. Rutishauser,Grasshopper,M. Rey
01:17:27.917,pass,"['loss', 'short_or_medium_pass']",O. Woś,Zürich,N. Ivelj
01:17:45.907,pass,"['forward_pass', 'loss', 'short_or_medium_pass']",M. Höbinger,Zürich,N. Ivelj
01:17:47.900,pass,"['forward_pass', 'short_or_medium_pass']",R. Rinast,Grasshopper,Zhang Linyan
01:17:50.250,pass,"['forward_pass', 'loss', 'pass_to_final_third', 'short_or_medium_pass']",O. Woś,Zürich,N. Ivelj
01:17:50.970,pass,"['forward_pass', 'loss', 'progressive_pass', 'short_or_medium_pass']",N. Ivelj,Grasshopper,J. Stierli
01:17:52.656,pass,"['lateral_pass', 'long_pass', 'pass_to_final_third', 'progressive_pass', 'recovery', 'counterpressing_recovery']",J. Stierli,Zürich,I. Pando
01:17:55.551,pass,"['forward_pass', 'head_pass', 'loss', 'carry', 'short_or_medium_pass']",I. Pando,Zürich,Marta Cazalla
01:18:01.973,pass,"['forward_pass', 'head_pass', 'loss', 'short_or_medium_pass']",I. Pando,Zürich,V. Laino
01:18:05.566,pass,"['lateral_pass', 'recovery', 'short_or_medium_pass']",V. Laino,Grasshopper,J. Egli
01:18:08.872,pass,"['lateral_pass', 'short_or_medium_pass', 'under_pressure']",J. Egli,Grasshopper,I. Rutishauser
